username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
DimalantaJake;2018-09-21 08:11;0;1;"11:11";keni bale;;;"1043155797943844864";https://twitter.com/DimalantaJake/status/1043155797943844864
bambinabii;2018-09-21 08:11;0;2;"pic.twitter.com/kkcLIDSm3D";Bicol Region;;;"1043155796886843392";https://twitter.com/bambinabii/status/1043155796886843392
RosaleSsherly;2018-09-21 08:11;0;0;"11:11";AMAGA, taga purok 2 ✨;;;"1043155796735844352";https://twitter.com/RosaleSsherly/status/1043155796735844352
emu_nemuko;2018-09-21 08:11;0;0;"かれぴする しょりたんと麦ちゃんのTシャツどこの？？";;;;"1043155796526227457";https://twitter.com/emu_nemuko/status/1043155796526227457
cafesminji;2018-09-21 08:11;0;1;"pic.twitter.com/IIXx98P1LQ";한지성 + 김유현 + 이대휘 + 徐明浩. ♡;;;"1043155796400504833";https://twitter.com/cafesminji/status/1043155796400504833
go_shiro0118;2018-09-21 08:11;0;0;"今気がついたんですけど団扇に書かれてる文字『尻』だったんですね 可愛すぎる";;;;"1043155796391940096";https://twitter.com/go_shiro0118/status/1043155796391940096
yukie_love_ic;2018-09-21 08:11;0;1;"可愛すぎるすこ… 深夜に練習あるんだ… 頑張れぇぇぇ๛ก(ｰ̀ωｰ́ก)";スノーホワイトプロダクション所属;;;"1043155796047974400";https://twitter.com/yukie_love_ic/status/1043155796047974400
noctilin;2018-09-21 08:11;0;6;"https://twitter.com/mouyashi/status/1042706617848885249 …";akihiko sanada validation station;;;"1043155795771150336";https://twitter.com/noctilin/status/1043155795771150336
_minmin0908;2018-09-21 08:11;0;0;"เบิร์ดเดย์ฮ่ะคุณพัคจินยอง # MyYouthJinyoungDaypic.twitter.com/0RVH64MMx3";ประเทศไทย;;#;"1043155795733446657";https://twitter.com/_minmin0908/status/1043155795733446657
Ruggeftidols;2018-09-21 08:11;0;1;"QUIEROOOO ABRAZAR A RUGGERO AAAAAAAAAAAA";3 Rt De Lodo ❤️ {Shaniela}{fer};;;"1043155795322523648";https://twitter.com/Ruggeftidols/status/1043155795322523648
juanna_cy;2018-09-21 08:11;0;0;"Mahal ko hanggang sa huli";Republic of the Philippines;;;"1043155794928197632";https://twitter.com/juanna_cy/status/1043155794928197632
o2LEv8S6YeUH6wE;2018-09-21 08:11;0;0;"次週きんぷりしやがれ全員出演！？！？ 幸せやん❥しかもリアタイでみれる!!! んで今日さらに情報!!!カップリングが決まった~❥❥ゆうかが投票したのとは違ったけど楽しみすぎて発売日まで待てん";日本 京都;;;"1043155794919796736";https://twitter.com/o2LEv8S6YeUH6wE/status/1043155794919796736
RealestAssShaee;2018-09-21 08:11;0;0;"Just ate breakfast";;;;"1043155794819203072";https://twitter.com/RealestAssShaee/status/1043155794819203072
Minwol_w;2018-09-21 08:11;0;1;"끄아 참고할게요 너무 좋아여";사랑합니다;;;"1043155794588364801";https://twitter.com/Minwol_w/status/1043155794588364801
kthrnevnglist;2018-09-21 08:11;1;2;"11:11";batangas city;;;"1043155794470948866";https://twitter.com/kthrnevnglist/status/1043155794470948866
King_Jiaer;2018-09-21 08:11;0;0;"Happy B-day babe!";Fan acct [Jackson, Ggs];;;"1043155794135379968";https://twitter.com/King_Jiaer/status/1043155794135379968
Phenomenally_Ty;2018-09-21 08:11;0;0;"Dude wearing a whole crop top out here. Do you boo boo. Do you! Work it!";Dayton;;;"1043155794093588480";https://twitter.com/Phenomenally_Ty/status/1043155794093588480
WangYoungJae_G7;2018-09-21 08:11;0;0;"ขอบคุณที่เกิดมาให้รักนะ ขอบคุณจริงๆ พัคจินยอง # MyYouthJinyoungdaypic.twitter.com/I5b0gYeYK4";;;#;"1043155793845972992";https://twitter.com/WangYoungJae_G7/status/1043155793845972992
namtan_1out;2018-09-21 08:11;6;2;"Giveaways FOR~ # XCIIIMARKDAY 400ea # ArsYoungjaeDay 400 ea # MyYouthJinyoungDay 400ea At # KCON2018THAILAND Ps.Project with @ Cherrywanlaya & @ Nongdefaye Ps.2 ขอบคุณภาพจาก พี่ @ NeeMo96_ ค้าบ pic.twitter.com/8SrI8SRCTj";I'm one out : Ahgase;@ @ @;# # # #;"1043155793539813380";https://twitter.com/namtan_1out/status/1043155793539813380
